subj10_trial1,subj10_trial2,subj10_trial3,subj10_trial4,subj10_trial5,subj10_trial6,subj10_trial7,subj10_trial8,subj10_trial9,subj10_trial10,subj10_trial11,subj10_trial12,subj10_trial13,subj10_trial15,subj10_trial16,subj10_trial17,subj10_trial18,subj10_trial19,subj10_trial21,subj10_trial22,subj10_trial23,subj10_trial24,subj10_trial25,subj10_trial26,subj10_trial27,subj10_trial28,subj10_trial29,subj10_trial30,subj10_trial31,subj10_trial32,subj10_trial33
2.19236033053418,0.064830224415426,-10.2614402655275,2.2381934006424,11.8613265493039,4.33306712712422,-3.37168798231951,0.316414163083389,-8.40656547539696,3.00157512302985,0.275266707385843,-0.121435390798459,0.127837917138605,0.127837917138605,7.34544771834288,4.96791114834868,-0.317917308859749,7.32007959664912,4.60474945057301,0.309021996578586,5.75250795820271,7.48913777294081,0.0998294282208151,5.70688438165974,-0.811944655344429,-0.46217049908751,-0.598125122061221,-10.9220140811428,2.47204146093962,-1.89157989520648,6.67637533476082
2.87167474466602,-1.19222557024168,-8.05886256144153,2.33415773357543,12.4216802375912,4.80909969747626,-0.358815493413359,1.20173422831684,-8.13281069749716,2.15565079609664,0.342951829957574,-0.113711341340326,0.537302309749625,0.537302309749625,6.79549696898711,3.48459006809632,-0.424557989257951,7.1769804234435,6.08877430273242,0.417809207864399,5.76219403601279,8.15394259237584,-0.487787476660353,6.13893137929902,-0.820008189150732,-1.41636908975694,-1.73785986487945,-11.805501797789,2.65164857256036,-1.84836278760808,7.55104635492359
3.47869322082897,-2.52656867616625,-5.65915562911935,2.25242723759576,12.4806400609193,5.3031811576423,2.38477093749363,2.09354068611979,-7.76083903615481,1.15995586508958,0.438537063670533,-0.0970555415521498,0.965179864843911,0.965179864843911,6.17738154819815,1.77658055207023,-0.466568690808464,6.76349847818007,7.33083291669154,0.547531844766725,5.60005821287596,8.47812328310935,-0.923090756354014,6.52792428909582,-0.638418298271969,-2.22298510257606,-2.92237384743799,-12.5093399329985,2.82915058536082,-1.6688121399189,8.1120694105305
4.00096068752396,-3.90918925295203,-3.12540356855519,1.9995721722927,12.0234083582769,5.80085716582385,4.7377298812503,2.88523064365296,-7.28860652632729,0.0320612794260314,0.553371272355855,-0.0826191792070489,1.34129578118595,1.34129578118595,5.49883946316105,-0.109918131326516,-0.453601212718111,6.17771876209738,8.29266409051384,0.705183113325307,5.2598991472846,8.46233990999949,-1.18492982476715,6.83155744643345,-0.292448271375236,-2.8390250944281,-4.13498841614653,-12.9849058337977,3.01787508731041,-1.3618675061055,8.36664842242459
4.43197767229849,-5.31080604990449,-0.544987992034075,1.6032143786098,11.0735916579246,6.28153127592974,6.62092938937776,3.47537418527901,-6.71725720437239,-1.2040809802162,0.680171742843497,-0.0763537791054097,1.61164496773655,1.61164496773655,4.76899481916649,-2.12361342485617,-0.400449881521329,5.50903124388064,8.94380736349164,0.901848811564885,4.73796437588355,8.13189714926428,-1.2692719923137,7.01255446816565,0.17452838907877,-3.24612500743857,-5.3661521513362,-13.1845583833087,3.22931505501715,-0.943373426099012,8.33851674564465
4.77229110395693,-6.70384279391208,1.97469304509816,1.11104702954935,9.70282193803061,6.71854452662921,8.01000326435757,3.78101756160369,-6.05148672591559,-2.52045698236211,0.813981722748869,-0.0746312209941511,1.74113762123534,1.74113762123534,3.99302632721807,-4.21215649276627,-0.324934889319354,4.82615678005105,9.26921258980171,1.14779261808708,4.02743695882978,7.54144183719567,-1.18640985323604,7.04011637622804,0.702986526707781,-3.45111855266902,-6.60691362444968,-13.0894175245532,3.47324617623331,-0.437208452905892,8.06898019109587
5.03396307616208,-8.05830879948964,4.31908342041047,0.585394032641722,8.02746679585151,7.08004712373997,8.94171419931608,3.75473374665737,-5.30413622106884,-3.88372872117928,0.954442056764826,-0.0680761551668733,1.71150375342315,1.71150375342315,3.17965139206404,-6.32283114779928,-0.243266269916622,4.17686233137259,9.26752286667113,1.44827816023998,3.12612083564277,6.7626541626533,-0.953920172729729,6.8832652466356,1.22943495527549,-3.47767348113688,-7.84182589021231,-12.7157430033696,3.75033152716375,0.125905469199955,7.6124890349644
5.23928858053439,-9.3396853958529,6.37831366989209,0.0959637317405841,6.19460121988525,7.3300999076001,9.48752001965011,3.39846385519054,-4.49474978853933,-5.25874549559503,1.10657528695809,-0.0498021576791329,1.52644232478377,1.52644232478377,2.36006880868439,-8.39966823981223,-0.166141460633475,3.59038114178971,8.94955958636667,1.80592229507738,2.05166398906416,5.86025706686394,-0.590420450096006,6.51431180349067,1.6966979680661,-3.35563236665735,-9.0387739533219,-12.1012480643704,4.04651305701904,0.70949532650383,7.0169768844914
5.40769956555801,-10.516461307045,8.05779742883644,-0.289822601883244,4.35328612689362,7.42825034632359,9.71227742612948,2.76743893128595,-3.64101513332747,-6.61769228702514,1.27505512644833,-0.0201079047503793,1.21160342977875,1.21160342977875,1.59123586172896,-10.384407078017,-0.0987347916673378,3.07775922684231,8.34076015632331,2.21720639777474,0.84063873771957,4.88595295462781,-0.118201739475907,5.91813943863693,2.05277350471299,-3.11173078304664,-10.1457350044431,-11.2913844753238,4.33739167689537,1.27623684109315,6.31010267765897
5.54553789308908,-11.5600541503749,9.29460371458418,-0.529558744052071,2.62254353777719,7.3276964185027,9.66712768848033,1.95996075034016,-2.75274175210165,-7.937262523811,1.45812929662139,0.0147149824387192,0.808021817740993,0.808021817740993,0.930498612161006,-12.2219844954846,-0.0419791177952203,2.63483521263125,7.48787984539833,2.66475081851109,-0.459304056491679,3.89161709257307,0.432284981604271,5.08862427144512,2.25553588712229,-2.76554999636705,-11.1025270325189,-10.325526216606,4.59935263233825,1.79198098248635,5.51476198987783
5.64515166642261,-12.4353843992577,10.0668342366274,-0.627613697512766,1.07824016635289,6.9793693689513,9.40464564298776,1.0979977326851,-1.83572510670781,-9.18955706063504,1.64712096611347,0.0455191518053573,0.370621940272355,0.370621940272355,0.414606480719295,-13.8630580621233,0.00512384680357686,2.24788783157552,6.46325536963208,3.11778701489472,-1.79088639635413,2.92673258053879,1.02212239138499,4.02403959770652,2.28517943980131,-2.33173986804897,-11.8559664795665,-9.22669042206839,4.81546058728675,2.22708342886921,4.67353974011456
