subj1_trial6,subj2_trial6,subj3_trial6,subj4_trial6,subj5_trial6,subj6_trial6,subj7_trial6,subj8_trial6,subj9_trial6,subj10_trial6
-2.99054852678629,-0.338679464681405,-12.4731179741265,-0.086593329752234,-6.18334040675509,27.0775803434699,1.35080269416571,-0.460687854978079,-1.85223469677436,2.40275105957906
-1.61874930262162,-0.363026072490292,-14.4240509141889,-0.311862895863688,-6.4162895053196,29.2656522232278,1.46896801563453,-0.530521870256469,-1.30613965269415,-0.824215835781842
-0.673266788629871,-0.700390862114596,-15.9496607710281,-0.477244520590784,-6.70301324989997,30.778095976806,1.54043939690039,-0.573694564670045,-0.879162714942138,-3.81998212447593
-0.122910131743222,-1.31968202964965,-17.0820463216116,-0.589026022697438,-7.03478928307483,31.6659841726513,1.56177432213398,-0.593070283388806,-0.567857398972229,-6.58698929310196
0.0635115211294867,-2.18980777111428,-17.8533063428915,-0.653495220941491,-7.40289524743244,31.9803893790914,1.5295302754306,-0.591513371566863,-0.368777220245918,-9.12767882825609
-0.0828109770334712,-3.2796762828972,-18.2955396118955,-0.676939934110132,-7.7986087855146,31.7723841650299,1.44026474124988,-0.571888174435106,-0.278475694188057,-11.4444922165469
-0.530686772732202,-4.5581957596782,-18.4408449053015,-0.66564798085498,-8.21320754007776,31.0930410967106,1.29053520236833,-0.53705903686973,-0.293506336392725,-13.5398709445256
-1.24892501479031,-5.99427440374913,-18.3213210013463,-0.62590718043152,-8.63796915292215,29.9934327522242,1.07689914905955,-0.489890305326838,-0.410422661700259,-15.4162564989995
-2.20633484195337,-7.556820384385,-17.9690666715046,-0.564005349476004,-9.0641712699957,28.5246316582764,0.795914039079022,-0.433246319409793,-0.625778188220288,-17.0760903656639
-3.3717254358264,-9.21474201127349,-17.4161807160079,-0.486230315763652,-9.48309151960703,26.7377105601004,0.44413746847381,-0.369991447864987,-0.936126420158944,-18.5218140349445
-4.71390579848442,-10.9369470059407,-16.6947618146323,-0.398869860410687,-9.88600760395254,24.6837412875606,0.0181264540143588,-0.302989937364295,-1.33802091996142,-19.7558689774514
-6.20168567504573,-12.6923455242104,-15.836909145697,-0.30821195764676,-10.26419691942,22.4137994590719,-0.485559590004506,-0.235106539824634,-1.82801500903164,-20.7806967458082
-7.80387176512691,-14.4498377444829,-14.8747198441492,-0.220543790190058,-10.608938115811,19.9789451649681,-1.07037107598942,-0.16920393632175,-2.40266299672616,-21.5987385564908
-9.48928315057924,-16.178364410822,-13.8402993527665,-0.142155758842879,-10.9115047468655,17.4303016288067,-1.73971846348057,-0.108153227444387,-3.05851517563768,-22.2124369926668
-11.226688911011,-17.8467024540368,-12.7657195654428,-0.0793252690615481,-11.1631909453642,14.8187371280172,-2.49717355066079,-0.0547915138979463,-3.79213805895297,-22.6242291184947
-12.9850588794228,-19.4242864967648,-11.6831870710737,-0.0383819011576058,-11.3552082215496,12.1961435201133,-3.34566037917457,-0.0120924021026073,-4.60003303599455,-22.8365741563361
-14.6471466738208,-20.5904444021886,-10.5978737884268,-0.000884758588543005,-11.5334227667969,9.2306553372335,-4.58096877452769,0.0794940402203497,-5.52041771667527,-22.8296399216512
-16.2740164292053,-21.6002247644482,-9.72333462824775,0.00946767070880314,-11.7188875026032,6.67956978867122,-5.95013197092483,0.164030325447865,-6.56937664954985,-22.5683490407736
-17.8185269110105,-22.4253994356614,-9.09319715934203,-0.0203265217547647,-11.8872892211746,4.62371528206501,-7.44299746395415,0.226658862909936,-7.73755407786463,-22.0560318460493
-19.2349581605826,-23.0264183002396,-8.71504396891018,-0.102641516456469,-12.0021453412614,3.08852167771259,-9.04386588663125,0.256484217239048,-9.01022404854431,-21.3040003075951
-20.476526167056,-23.3690659681222,-8.58093516131311,-0.246528428212981,-12.0096141553872,2.03608620294994,-10.7270699768936,0.252024460636794,-10.3635528283295,-20.3344692592097
-21.5028577849683,-23.4335607676862,-8.67196265626523,-0.460404903385341,-11.835816844505,1.37101204787179,-12.4534168192119,0.215376982830943,-11.7565563853152,-19.1803413394112
-22.2873103521715,-23.2215290529922,-8.95525118757883,-0.757755355428731,-11.392665903394,0.967710933268021,-14.1699437751164,0.141480561109196,-13.1376786623898,-17.884072337997
-22.813685734811,-22.7532900522297,-9.38210437822653,-1.15702078490259,-10.5881215545957,0.700169668866269,-15.8100821496555,0.0165071810587317,-14.4572768633555,-16.4961970419194
-23.0675240669771,-22.0661881510281,-9.89010101774596,-1.67948695249022,-9.33904383245477,0.474763279084341,-17.3040887263776,-0.180446507758335,-15.6748126027804,-15.0733937399372
-23.03373291666,-21.2056999321699,-10.4144481479506,-2.34416093258099,-7.57990951224601,0.252257110694827,-18.593998983952,-0.476430460463343,-16.7594949917439,-13.6741274394486
-22.7024978907392,-20.2203486798812,-10.8978649805631,-3.16600796288673,-5.27247614510486,0.0421168931992007,-19.6446701345593,-0.902874009839117,-17.6878042351911,-12.3564323316066
-22.0788821038636,-19.1560937556935,-11.2945368289078,-4.15783201213432,-2.41152186328059,-0.131357317063316,-20.4411100040779,-1.49428544892566,-18.4420343140988,-11.1740588911044
-21.1838811478616,-18.0609721945488,-11.5642939513407,-5.3288516489862,0.971327320482019,-0.255958017657201,-20.9801116239749,-2.28380619552381,-19.007270049302,-10.1686033106842
-20.0495606389425,-16.9858843371952,-11.6654690756342,-6.67938400331068,4.8032938197859,-0.336150930837146,-21.2622513073851,-3.29583274506783,-19.3725430605755,-9.36599055489389
-18.7159615037602,-15.9808326062346,-11.5533873956297,-8.19924142391871,8.96394142364711,-0.383564389988104,-21.2887494498043,-4.53866998992229,-19.5314132567795,-8.77650789557162
-17.2316802746385,-15.0855721472436,-11.183713471825,-9.86826178347898,13.2840556336373,-0.41061445177381,-21.0605517503991,-5.99943499114186,-19.4838337740504,-8.39716524457497
-15.6524546713705,-14.3254412228736,-10.5164232216394,-11.6550983141467,17.5588574970105,-0.428910068104747,-20.5816204614835,-7.64635063686544,-19.2374415237938,-8.20681010464258
-14.0355168170915,-13.7095691617081,-9.51704322835239,-13.5198222141846,21.5826018383828,-0.445335155532852,-19.8617115753231,-9.43409499207656,-18.8029658860485,-8.16589524373953
-12.4391045692911,-13.2301138853075,-8.15363113466376,-15.4120172551883,25.1915229811972,-0.460507172290815,-18.9230401421354,-11.3049105121496,-18.1947239747773,-8.213135960869
-10.9211410653323,-12.856727727945,-6.39740926324192,-17.2709091458984,28.2897881758575,-0.473147269107429,-17.799567394837,-13.1875493868393,-17.4305426748991,-8.27029130099126
-9.5340626726307,-12.5245166262135,-4.22518006650084,-19.0348602944077,30.8402765868004,-0.486134130644187,-16.5374311724784,-15.0024638551802,-16.5347425870484,-8.26645796489576
-8.31923954155035,-12.1322728069975,-1.62195944871938,-20.6515480388548,32.8385000469703,-0.503136351256077,-15.1911653533315,-16.6781630250809,-15.5367238742792,-8.15921356159509
-7.30759703466192,-11.5549022734398,1.4051043463596,-22.0780635547619,34.2937117685312,-0.52530342357899,-13.8194127605644,-18.1675348294425,-14.4672649855603,-7.92591490076491
-6.52280208414055,-10.6663925730207,4.8147506021334,-23.2778740714705,35.2217454684226,-0.548118516929493,-12.479170631651,-19.4436358056475,-13.3570807648512,-7.53279804571183
-5.98143461080273,-9.36470682605174,8.52814444874815,-24.2161656641511,35.6368068075082,-0.562366980214266,-11.2222317859348,-20.4913225118809,-12.2443311723417,-6.91467487865666
-5.68845704196435,-7.59479500553807,12.4330363555799,-24.8580236256435,35.5430179326271,-0.561144472714056,-10.0938393016975,-21.2941247647634,-11.1748509308772,-5.98039707904157
