Trial,NumCycles_Left,NumCycles_Right
subj9_trial5,0,0
subj9_trial6,0,0
subj9_trial7,0,0
subj9_trial8,0,0
subj9_trial9,0,0
subj9_trial10,0,0
subj9_trial11,0,0
subj9_trial12,0,0
subj9_trial13,0,0
subj9_trial14,0,0
subj9_trial15,0,0
subj9_trial16,0,0
subj9_trial17,0,0
subj9_trial18,0,0
subj9_trial19,0,0
subj9_trial20,0,0
subj9_trial21,0,0
subj9_trial22,0,0
subj9_trial23,0,0
subj9_trial24,0,0
subj9_trial25,0,0
subj9_trial26,0,0
subj9_trial27,0,0
subj9_trial28,0,0
subj9_trial29,0,0
subj9_trial30,0,0
subj9_trial31,0,0
subj9_trial32,0,0
subj9_trial33,0,0
subj10_trial1,0,0
subj10_trial2,0,0
subj10_trial3,0,0
subj10_trial4,0,0
subj10_trial5,0,0
subj10_trial6,0,0
subj10_trial7,0,0
subj10_trial8,0,0
subj10_trial9,0,0
subj10_trial10,0,0
subj10_trial11,0,0
subj10_trial12,0,0
subj10_trial13,0,0
subj10_trial15,0,0
subj10_trial16,0,0
subj10_trial17,0,0
subj10_trial18,0,0
subj10_trial19,0,0
subj10_trial21,0,0
subj10_trial22,0,0
subj10_trial23,0,0
subj10_trial24,0,0
subj10_trial25,0,0
subj10_trial26,0,0
subj10_trial27,0,0
subj10_trial28,0,0
subj10_trial29,0,0
subj10_trial30,0,0
subj10_trial31,0,0
subj10_trial32,0,0
subj10_trial33,0,0
