subj3_trial2,subj3_trial3,subj3_trial4,subj3_trial5,subj3_trial6,subj3_trial7,subj3_trial8,subj3_trial9,subj3_trial10,subj3_trial11,subj3_trial12,subj3_trial13,subj3_trial14,subj3_trial15,subj3_trial16,subj3_trial17,subj3_trial18,subj3_trial19,subj3_trial20,subj3_trial21,subj3_trial22,subj3_trial23,subj3_trial24,subj3_trial25,subj3_trial26,subj3_trial27,subj3_trial28,subj3_trial29,subj3_trial30,subj3_trial31,subj3_trial32,subj3_trial33
-9.21207695489902,-15.1069411617908,-18.0187970219404,3.50094266760503,-0.1909570309559,28.2045061000435,6.48395976890495,-7.92708963871827,-0.678445544813841,-5.48215902808779,-4.86998694087103,-14.6595264934694,0.0302450440825184,28.0420966112332,-0.552811014764766,-0.279768488122118,-9.30730265313089,-8.80579484975196,-0.302135909283647,26.5634507707741,-9.21097448797682,-6.07466984670082,14.7319487047811,2.72034544672953,-0.00978620514663836,0.576020077090231,-5.17325956677338,-2.42860909833476,-0.334380793462285,-10.5542537619436,-6.67360321162518,1.18155226916811
-8.7808067385896,-16.046826676248,-18.9050563358168,3.78621132306908,-0.222704696177589,31.32200205169,5.18999475968933,-7.64945598713429,-0.737444920251807,-5.16226603270535,-5.15896071525956,-14.407568209947,-0.0702150315975448,28.2167139092206,-0.576600846609555,-0.270256383609905,-8.55343325894082,-8.27023387301439,-0.32879203539268,26.6410701646453,-8.45727080772851,-6.02660397262827,12.4610362093957,1.60908526919097,0.0114985986576582,0.363033479472471,-5.10035069511152,-3.04632515960258,-0.405452662947175,-10.4909159248198,-6.21232755579168,0.86586172861002
-8.46365980701855,-16.8229934255934,-19.633670405153,4.21505801515758,-0.257091547821362,33.9292999461588,4.31326716562334,-7.39989761414277,-0.796242319540568,-4.67776629329939,-5.39744275715964,-14.0404416286882,-0.113721117805297,27.8942932597862,-0.596663616237977,-0.257944664125025,-7.59085152021939,-7.84531436546512,-0.347266097085012,26.2724654755076,-7.77296149825629,-5.93448309027954,10.276624818786,0.942574426711542,0.0337551110017765,0.197913261171659,-5.02799757535018,-3.73275816000698,-0.470476664174573,-10.3616329845707,-5.49277745858397,0.569092597978412
-8.22447799247657,-17.4246422835775,-20.1786568693117,4.6750427719739,-0.283869374184276,35.9913866465399,3.81031151338636,-7.16925561455901,-0.851350333376453,-4.02783568722758,-5.57691373892425,-13.5753298411374,-0.118015885533555,27.1087829968362,-0.617120766698484,-0.247189365712958,-6.38073303513189,-7.53820510344952,-0.3642079389343,25.4974380441955,-7.19908108768604,-5.7638176313854,8.26653559879027,0.717116172448383,0.0472457103658838,0.0826177613288131,-4.95323422315175,-4.47183307816602,-0.537778716643155,-10.1627856139606,-4.47365091683217,0.316506400742856
-8.02805094658933,-17.844355285418,-20.5175066911586,5.04041077961182,-0.295213892915266,37.4603346779523,3.59536305028777,-6.95402552364773,-0.908051326452206,-3.21390146670058,-5.69545542520967,-13.02992860581,-0.103326802582155,25.9040075390611,-0.645112152627588,-0.240981025818306,-4.88277331846282,-7.3470989563254,-0.382934935870714,24.3552777093738,-6.76421857055393,-5.47794398522255,6.49970608853527,0.88740093315968,0.0446144859949664,0.0030006401390608,-4.87796581500604,-5.25119090699961,-0.623717054611007,-9.88735552898812,-3.11270759167411,0.121736291914934
-7.85138939527169,-18.0735459213279,-20.6359560307263,5.18422301747619,-0.291712481207137,38.2856242517162,3.54946204429554,-6.76278466926209,-0.975203749453998,-2.2376551005409,-5.76040087691801,-12.4289900388343,-0.0853266323469752,24.3360356688587,-0.691299397191716,-0.241154713640296,-3.06422021045932,-7.26447671867236,-0.400550454539714,22.8880049392402,-6.47749869819909,-5.03653983643595,5.0231347498897,1.36817932276627,0.0249190494419684,-0.0519952710202327,-4.80142704074246,-6.05471330332352,-0.748027581739908,-9.53467530813649,-1.38088936242971,-0.0106172847861029
-7.68683642901421,-18.1053854881646,-20.5258596991244,5.00984169771161,-0.283930836216312,38.4247014789732,3.5429197407745,-6.60856462521772,-1.06153895043123,-1.10093283986468,-5.7814162589459,-11.8014697353482,-0.0712953661458339,22.4687340329259,-0.770897777334957,-0.249000552720079,-0.902634164517224,-7.27981664520764,-0.417889343066991,21.144576948558,-6.33163128182695,-4.39803020105605,3.85985751199019,2.04249501221196,-0.00802388169588535,-0.0846448130544449,-4.721194052728,-6.85367582931276,-0.928681930519647,-9.11589995176183,0.723519777044479,-0.0829972994164649
-7.54322564021278,-17.9370256262837,-20.1865756437065,4.49013532110191,-0.285770427247711,37.8595547758198,3.45776742201305,-6.50468379683653,-1.17584896727072,0.196213498454145,-5.7663024030584,-11.1710180015321,-0.0615990999862114,20.3653955532477,-0.906651301321887,-0.261089852216327,1.61190045675039,-7.37955941292393,-0.44447976766911,19.178515439941,-6.31057421790766,-3.52979203152194,3.00315946842297,2.77147743971923,-0.047601812791359,-0.0972970966554362,-4.62791416850954,-7.61191862056597,-1.17719106439128,-8.65412586178773,3.16619886669264,-0.104858177812462
-7.43650925917582,-17.5689670351293,-19.6308870485737,3.68951130215855,-0.31116593438443,36.6010909630723,3.20833515137536,-6.45214545247516,-1.33071441563391,1.65573459969866,-5.72636981077811,-10.5528703199789,-0.0541757185481063,18.0874614281994,-1.12353441433531,-0.27178949550725,4.46317103505447,-7.53999712811638,-0.488355902977595,17.0458226939407,-6.39435320271872,-2.41855643415535,2.4140740250972,3.41487958683348,-0.0900781161026938,-0.0957791961166538,-4.50734841614305,-8.29516861742737,-1.50218810150385,-8.17735558620337,5.88086435830785,-0.0897087049060438
-7.37844155403348,-17.0104120489002,-18.8881490063737,2.74512157995779,-0.366730701915972,34.6865036763826,2.76350898019777,-6.42968325732644,-1.54193375723155,3.2794055478613,-5.67634997449999,-9.95783185043456,-0.0469517719882999,15.7032828111348,-1.4496679452306,-0.27495992015069,7.60141244665257,-7.72449006434399,-0.552954687635111,14.8071814086455,-6.55860648321161,-1.06884184421838,2.03157256097388,3.85191035187413,-0.134538245631248,-0.0859083516539695,-4.35263327283083,-8.88223012662644,-1.91118632217488,-7.71484011782375,8.77432963121708,-0.052116673250861
