Trial,Time_s,Predicted_RY_Moment
1,1,0.0142070259898901
1,1.01,0.0144206648692489
1,1.02,0.0140314493328333
1,1.03,0.0130866430699825
1,1.04,0.0118117574602365
1,1.05,0.0102410754188895
1,1.06,0.00825128611177206
1,1.07,0.00584086123853922
1,1.08,0.0032049622386694
1,1.09,0.000513439415954053
1,1.1,-0.0020973770879209
1,1.11,-0.00434005167335272
1,1.12,-0.00591573491692543
1,1.13,-0.00678391987457871
1,1.14,-0.00719042960554361
1,1.15,-0.00745167536661029
1,1.16,-0.00776415457949042
1,1.17,-0.00799627136439085
1,1.18,-0.0080441078171134
1,1.19,-0.00794519018381834
1,1.2,-0.0076582133769989
1,1.21,-0.00723162246868014
1,1.22,-0.00677032908424735
1,1.23,-0.00636733137071133
1,1.24,-0.00607222272083163
1,1.25,-0.00589011795818806
1,1.26,-0.00579940900206566
1,1.27,-0.00578001514077187
1,1.28,-0.0058334250934422
1,1.29,-0.0059741074219346
1,1.3,-0.00621328689157963
1,1.31,-0.00655604107305408
1,1.32,-0.00700458325445652
1,1.33,-0.00755398999899626
1,1.34,-0.0081918528303504
1,1.35,-0.00890408456325531
1,1.36,-0.00966701563447714
1,1.37,-0.0104234181344509
1,1.38,-0.011074529029429
1,1.39,-0.01150734256953
1,1.4,-0.0116463070735335
1,1.41,-0.0114917661994696
1,1.42,-0.0111021688207984
1,1.43,-0.0105094695463777
1,1.44,-0.0096734669059515
1,1.45,-0.0085712568834424
1,1.46,-0.0072877430357039
1,1.47,-0.00599269988015294
1,1.48,-0.00483475066721439
1,1.49,-0.00386512884870172
1,1.5,-0.0030435579828918
1,1.51,-0.00227925274521112
1,1.52,-0.00146447727456689
1,1.53,-0.000516005733516067
1,1.54,0.000599796010646969
1,1.55,0.00188659294508398
1,1.56,0.0033266709651798
1,1.57,0.00484989862889051
1,1.58,0.0063760275952518
1,1.59,0.00791830569505692
1,1.6,0.00916371867060661
1,1.61,0.00889327190816402
1,1.62,0.00394590338692069
1,1.63,0.0042710192501545
1,1.64,0.00078858167398721
1,1.65,-0.00197330140508711
1,1.66,-0.00364469434134662
1,1.67,-0.00427675433456898
1,1.68,-0.00400962913408875
1,1.69,-0.00301912450231612
1,1.7,-0.00314503256231546
1,1.71,-0.00240615336224437
1,1.72,-0.00695136468857527
1,1.73,-0.00891557615250349
1,1.74,-0.00726853962987661
1,1.75,-0.00408548722043633
1,1.76,0.000275710714049637
1,1.77,0.005208152346313
1,1.78,0.0100297266617417
1,1.79,0.0142345894128084
1,1.8,0.017490828409791
1,1.81,0.0195644553750753
1,1.82,0.02023003436625
1,1.83,0.0192569755017757
1,1.84,0.0165663305670023
1,1.85,0.0124966539442539
1,1.86,0.0081554614007473
1,1.87,0.00523411249741912
1,1.88,0.00473857391625643
1,1.89,0.0060166665352881
1,1.9,0.00724818324670196
1,1.91,0.00763445906341076
1,1.92,0.00651483936235309
1,1.93,0.00487597333267331
1,1.94,0.0042273448780179
1,1.95,0.00376547826454043
1,1.96,0.00135562603827566
1,1.97,-0.00330209312960505
1,1.98,-0.00882116425782442
1,1.99,-0.0143451597541571
1,2,-0.0190892349928617
1,2.01,-0.0224102605134249
1,2.02,-0.0244292933493853
1,2.03,-0.0259776804596186
1,2.04,-0.0288534071296453
1,2.05,-0.0349210053682327
1,2.06,-0.0443466603755951
1,2.07,-0.056503850966692
1,2.08,-0.0720873922109604
1,2.09,-0.093995027244091
1,2.1,-0.126981854438782
1,2.11,-0.178095653653145
1,2.12,-0.251433610916138
1,2.13,-0.327864795923233
1,2.14,-0.39292773604393
1,2.15,-0.451427578926086
1,2.16,-0.508556127548218
1,2.17,-0.56276148557663
1,2.18,-0.608751356601715
1,2.19,-0.642467319965363
1,2.2,-0.665286242961884
1,2.21,-0.682558953762054
1,2.22,-0.697209537029266
1,2.23,-0.707652628421783
1,2.24,-0.715890765190125
1,2.25,-0.721199929714203
1,2.26,-0.722088515758514
1,2.27,-0.718349933624268
1,2.28,-0.710652589797974
1,2.29,-0.701823353767395
1,2.3,-0.693939507007599
1,2.31,-0.687836408615112
1,2.32,-0.682934582233429
1,2.33,-0.678457617759705
1,2.34,-0.674164533615112
1,2.35,-0.670263886451721
1,2.36,-0.666938543319702
1,2.37,-0.664016425609589
1,2.38,-0.66107589006424
1,2.39,-0.657838582992554
1,2.4,-0.654411613941193
1,2.41,-0.651061415672302
1,2.42,-0.647843241691589
1,2.43,-0.644504308700562
1,2.44,-0.640636622905731
1,2.45,-0.63595712184906
1,2.46,-0.630627155303955
1,2.47,-0.625255525112152
1,2.48,-0.620398998260498
1,2.49,-0.616036236286163
1,2.5,-0.611649870872498
1,2.51,-0.606918096542358
1,2.52,-0.60237592458725
1,2.53,-0.599217116832733
1,2.54,-0.598132491111755
1,2.55,-0.598596096038818
1,2.56,-0.599689304828644
1,2.57,-0.601049542427063
1,2.58,-0.602515816688538
1,2.59,-0.603621184825897
1,2.6,-0.6043900847435
1,2.61,-0.605704247951508
1,2.62,-0.607788801193237
1,2.63,-0.609109997749329
1,2.64,-0.607906222343445
1,2.65,-0.60401725769043
1,2.66,-0.598742723464966
1,2.67,-0.593688666820526
1,2.68,-0.589627921581268
1,2.69,-0.585883736610413
1,2.7,-0.581187844276428
1,2.71,-0.575591802597046
1,2.72,-0.570756614208221
