Trial,NumCycles_Left,NumCycles_Right
subj9_trial5,16,15
subj9_trial6,17,18
subj9_trial7,21,21
subj9_trial8,19,19
subj9_trial9,11,11
subj9_trial10,12,13
subj9_trial11,14,14
subj9_trial12,10,10
subj9_trial13,15,15
subj9_trial14,13,14
subj9_trial15,15,15
subj9_trial16,17,17
subj9_trial17,18,19
subj9_trial18,21,20
subj9_trial19,0,0
subj9_trial20,18,13
subj9_trial21,16,16
subj9_trial22,16,16
subj9_trial23,15,16
subj9_trial24,16,16
subj9_trial25,16,15
subj9_trial26,15,16
subj9_trial27,18,17
subj9_trial28,11,11
subj9_trial29,12,11
subj9_trial30,16,16
subj9_trial31,14,13
subj9_trial32,13,14
subj9_trial33,16,16
subj10_trial1,10,10
subj10_trial2,17,18
subj10_trial3,18,19
subj10_trial4,21,21
subj10_trial5,18,18
subj10_trial6,19,20
subj10_trial7,21,22
subj10_trial8,20,22
subj10_trial9,12,12
subj10_trial10,13,14
subj10_trial11,15,16
subj10_trial12,12,12
subj10_trial13,17,19
subj10_trial15,17,19
subj10_trial16,19,18
subj10_trial17,20,20
subj10_trial18,20,20
subj10_trial19,0,0
subj10_trial21,17,18
subj10_trial22,17,16
subj10_trial23,17,17
subj10_trial24,17,18
subj10_trial25,16,18
subj10_trial26,18,18
subj10_trial27,19,21
subj10_trial28,12,13
subj10_trial29,13,14
subj10_trial30,17,18
subj10_trial31,15,15
subj10_trial32,16,15
subj10_trial33,17,18
