Trial,Time_s,Predicted_LY_Moment
1,2.67,0.0040676100179553
1,2.68,0.00306615186855197
1,2.69,0.00255945976823568
1,2.7,0.00236222613602877
1,2.71,0.00231081154197454
1,2.72,0.00243783998303115
1,2.73,0.00286801671609282
1,2.74,0.0036298749037087
1,2.75,0.00448378035798669
1,2.76,0.00497691612690687
1,2.77,0.00484680244699121
1,2.78,0.0041808052919805
1,2.79,0.00324566964991391
1,2.8,0.00225059082731605
1,2.81,0.00140563014429063
1,2.82,0.00102926010731608
1,2.83,0.00129191484302282
1,2.84,0.00202565616928041
1,2.85,0.00303065055049956
1,2.86,0.00402715057134628
1,2.87,0.00477125775068998
1,2.88,0.00523842684924603
1,2.89,0.00562530197203159
1,2.9,0.00603245850652456
1,2.91,0.00634784530848265
1,2.92,0.00653620343655348
1,2.93,0.00671159569174051
1,2.94,0.006932751275599
1,2.95,0.00706886313855648
1,2.96,0.00687381345778704
1,2.97,0.0063575180247426
1,2.98,0.0060561029240489
1,2.99,0.00628055213019252
1,3,0.00649037072435021
1,3.01,0.00603086361661553
1,3.02,0.00466842856258154
1,3.03,0.00284177204594016
1,3.04,0.00191467977128923
1,3.05,0.00237883278168738
1,3.06,0.00232693273574114
1,3.07,0.000720668584108353
1,3.08,-0.00206150952726603
1,3.09,-0.00563837774097919
1,3.1,-0.00990977603942156
1,3.11,-0.0150192696601152
1,3.12,-0.0212700087577105
1,3.13,-0.0290405824780464
1,3.14,-0.0388097390532494
1,3.15,-0.0513228662312031
1,3.16,-0.0672674924135208
1,3.17,-0.0856956839561462
1,3.18,-0.103347986936569
1,3.19,-0.118263728916645
1,3.2,-0.129186302423477
1,3.21,-0.134188771247864
1,3.22,-0.136997923254967
1,3.23,-0.143827259540558
1,3.24,-0.158792719244957
1,3.25,-0.187045469880104
1,3.26,-0.23937651515007
1,3.27,-0.324338346719742
1,3.28,-0.421133756637573
1,3.29,-0.501242935657501
1,3.3,-0.561070024967194
1,3.31,-0.601346731185913
1,3.32,-0.616523802280426
1,3.33,-0.612262547016144
1,3.34,-0.601752161979675
1,3.35,-0.591709852218628
1,3.36,-0.583016574382782
1,3.37,-0.575253963470459
1,3.38,-0.568110585212708
1,3.39,-0.56182199716568
1,3.4,-0.556878447532654
1,3.41,-0.553804814815521
1,3.42,-0.552997469902039
1,3.43,-0.554318904876709
1,3.44,-0.556927144527435
1,3.45,-0.559784173965454
1,3.46,-0.562562167644501
1,3.47,-0.5655597448349
1,3.48,-0.569009065628052
1,3.49,-0.572918176651001
1,3.5,-0.577088832855225
1,3.51,-0.581117153167725
1,3.52,-0.58447128534317
1,3.53,-0.58670836687088
1,3.54,-0.58771550655365
1,3.55,-0.587745010852814
1,3.56,-0.587210953235626
1,3.57,-0.586314857006073
1,3.58,-0.584928512573242
1,3.59,-0.582878768444061
1,3.6,-0.58021742105484
1,3.61,-0.577273964881897
1,3.62,-0.574462234973907
1,3.63,-0.572009205818176
1,3.64,-0.569862008094788
1,3.65,-0.567812621593475
1,3.66,-0.565729558467865
